"Origin","ETS_MAPE","ETS_RMSE","ETS_MAE","SNAIVE_MAPE","SNAIVE_RMSE","SNAIVE_MAE"
54,11.8468763840933,964.182010088557,723.632479116975,12.9322285717656,974.992564074209,818.5
55,14.3726854704054,1049.79868996018,871.841794921001,14.4642800930372,1036.63357396269,893.833333333333
56,17.6030501645258,1322.88604097724,1005.43681708148,15.8389207747278,1097.79225417805,971.166666666667
57,17.5263990687665,1259.09302072658,992.910544881279,17.1389499890792,1136.56463373918,1037.5
58,21.1781212217675,1435.58276661797,1205.42233406234,17.1076945202266,1121.41409984596,1022.08333333333
59,30.0147462377952,1905.69855949196,1735.97136856576,17.4502338151293,1125.77314174156,1025.5
60,21.1530953168667,1399.52092607748,1200.79354728637,17.0826135817114,1111.41572629987,997.25
61,18.5037035514998,1258.48766179758,1041.93765342496,16.6389130792114,1103.49607309375,967.916666666667
62,20.1306383136613,1309.55667079597,1141.51572483419,17.1728611877574,1119.56341937382,996.583333333333
63,18.0198025321078,1180.29195268777,1017.43836594397,16.6773101346561,1104.8714857394,962
64,9.11464583972056,724.368251249123,495.133879490475,16.7196530628039,1110.74374482446,971.333333333333
65,11.8769311199525,792.547133470253,748.47733958272,16.5397797961638,1118.95416200426,979.583333333333
66,18.432966226479,1267.22504890622,1202.34151476857,15.1130958005503,1061.4413942057,947.666666666667
67,17.846904930347,1196.13866270769,1163.52856377391,14.195744177621,1021.628805715,907.583333333333
68,9.05800191407901,657.777709876874,599.674525598843,12.6945147888565,951.589985235238,817.666666666667
69,8.33402077533274,630.156503269723,556.20184032369,12.615543067599,969.197348324891,832.5
70,3.9601463827748,339.824708884101,261.997098036811,11.5322022024395,924.831245867771,761.166666666667
71,3.80099710137736,321.173706254273,249.415537449717,10.2129053738691,829.819608911077,668.083333333333
72,4.63974800804988,352.656714143162,304.333256049826,10.3110362655433,835.126287855116,677.75
73,6.02587621194061,431.374861282088,392.714573525413,10.5299546418811,839.311573056554,693.75
74,4.98141437852911,422.285506459703,337.698769636759,10.2945067801092,831.534825889251,685
75,5.21768710148299,426.63972033783,353.604662630054,10.1871684203675,829.74760218595,678.416666666667
76,5.06824360403515,378.430178011526,334.889890549255,9.68976924107979,806.902513731781,644.333333333333
77,5.34562906407327,421.648061584955,362.328486927352,8.2210221174051,734.351357775463,550.916666666667
78,5.59231034959507,438.191438217521,380.544303772516,6.21620836728964,528.525464539474,416.166666666667
79,7.46227636889179,619.122507298745,517.843546267599,5.72429352244957,494.951428593419,388.916666666667
80,6.81639691129644,578.486617084749,474.033906924758,5.44236515692887,490.541452546741,371.25
81,6.02514723948255,453.257778629168,393.884238048099,4.75603646672531,383.272205271049,320.583333333333
82,5.72901326134174,429.002567771547,379.167410067814,5.15653847364382,402.385180310276,345
83,5.69248629995772,484.238372406751,394.217916328848,4.85189405439822,391.389937700669,324.75
84,6.40612574766988,492.130413161946,417.033242157726,4.33963481071233,362.602744060218,287.583333333333
85,8.11937448796677,643.808498450405,521.625839585078,4.28409674411172,358.830043335282,282.833333333333
86,9.24742950103983,694.996159289094,591.895355746856,4.24461556749865,345.085496652641,275.333333333333
87,5.54886645814491,417.441608158888,361.988882046624,4.28394375796615,347.015489567829,278.583333333333
88,7.56501607716513,572.364118733772,486.053489922293,4.07363677905445,335.656322250403,263.166666666667
89,4.90024553161264,387.361388180958,331.981735885636,4.16839677738712,336.922592494676,269
90,5.42828916517211,398.938576455547,363.370630745905,4.25002358383243,340.493147263397,275.25
91,5.95565240765393,453.101210397257,409.511875506226,4.58038679048747,391.818623004744,304.5
92,6.55002674794485,531.590824548137,460.134334592544,5.24093355579422,423.609194895484,349.583333333333
93,6.91704831265015,520.227756458211,480.382569431192,5.08320370015794,415.904736688584,344.083333333333
94,8.61535630097189,697.661426994714,608.142545026919,5.22247312556082,432.685509348303,357.416666666667
95,9.66365368582822,750.608852324384,682.325204661352,5.86975424967786,472.112804316934,404.666666666667
96,3.79632437168247,318.430155827047,259.761811559825,6.0454137382906,475.833829538562,417
97,3.81361624740099,325.939842501205,256.063745260869,6.29873881460696,486.530745859567,431.833333333333
98,5.32077410205621,424.648275368281,372.947796765786,6.15732786800024,480.263989905552,426.5
99,4.01976654782332,337.599850813666,274.12943872134,6.15101583128587,479.807774009551,425.5
100,7.20910874960613,560.744476158477,482.642178872108,7.21265209929444,555.694835318811,494.25
101,4.90315613611672,391.408156613185,340.726594398017,7.96753132169233,595.776873781899,547.916666666667
102,3.89527638432682,353.082203996632,262.626591533056,8.43044024913993,614.940105484537,576.666666666667
103,7.94374730975355,612.163210726784,529.340216861132,8.84569456543332,639.868215598598,593.666666666667
104,6.36592605998797,507.386000461678,421.298113354234,8.39790722624611,621.609537142624,562.75
105,6.64637648927093,498.763845571635,431.522406572341,8.79356264291808,639.82106873719,580.166666666667
106,5.93584557917543,459.777755375249,382.577344023055,8.51738353910862,623.695438495425,559.333333333333
107,5.04242995719567,368.374310088704,327.649031016451,8.35918575224117,610.338157636131,545
108,6.43074198610063,462.919827136091,415.433667071735,8.97817549799776,637.618485721151,583.166666666667
109,4.93453758773173,355.638860053014,315.589109062946,9.18006659142925,644.28726771009,591.916666666667
110,6.66149937576106,470.786916449291,423.340557850518,8.97807316567095,633.632451294387,576.583333333333
111,7.66158400485887,522.575237100053,487.569326452849,8.92117872111693,632.394984694429,572.416666666667
112,3.30442612797335,280.813473477564,211.588804609132,8.06212539143183,572.233999339431,516.583333333333
113,6.96662615890157,483.549802044605,442.371270921826,7.63124919262361,540.181913803119,484.833333333333
